상품번호,제목,부제목,저자,출판사,출간일,판매가,정가,평점,리뷰수,판매지수
163301895,된다! 하루 만에 끝내는 제미나이 활용법,"보고서, 이미지 생성 등 70가지 예제 수록! 노트북LM, 구글 AI 스튜디오, 나노 바나나를 한 권에!",권서림,이지스퍼블리싱,2025년 11월,18000,20000,9.8,51,107370
148333977,이게 되네? 제미나이 노트북LM 미친 활용법 51제,"진짜 실무에서 쓰는 인공지능 활용법! 할 일, 조직 관리, 협업, AI 메모, AI 회의, 챗봇, AI 앱 만들기, 이미지 생성, 영상 제작까지 일잘러 오대리의 AI 업무 자동화",오힘찬,골든래빗,2025년 07월,21600,24000,9.6,32,59685
146955725,된다! 하루 만에 끝내는 챗GPT 활용법,인공지능에게 일 시키고 시간 버는 법,프롬프트 크리에이터,이지스퍼블리싱,2025년 06월,18000,20000,9.5,90,39249
144648441,구글 시트로 스마트한 학교 만들기 : 교사를 위한 스프레드시트 활용 가이드,실전기초/행정업무/일정관리/담임업무/학급운영/교수평기,지미정,앤써북,2025년 04월,21960,24400,9.9,15,28677
142814138,된다! 하루 만에 준비하는 AI 학교 수업 활용법,"with 챗GPT, 캔바, 미리캔버스, 구글 기반 AI",정인걸,이지스퍼블리싱,2025년 03월,17820,19800,10.0,39,30990
152079426,바로 배워서 바로 써먹는 바이브 코딩,"캔바, 구글 앱스크립트, 파이어베이스, 러버블까지, 웹 앱 개발 도구를 활용한 AI 융합 교육 가이드",박찬,다빈치books,2025년 09월,19800,22000,10.0,43,25125
169849422,"요즘 교사를 위한 에듀테크 5대장 : 캔바, 패들렛, 북크리에이터, 노션, 챗GPT∙제미나이","수업준비, 학급경영, 행정업무, 상담, 연수준비, 개인업무, 교사협업, 바이브코딩 어떻게 활용했고, 어떻게 활용할 수 있는지!",안익재,앤써북,2025년 12월,17820,19800,10.0,55,8778
153029475,요즘 바이브 코딩 커서 AI 30가지 프로그램 만들기,"인공지능 코딩, 랜딩 페이지, 바탕화면 정리 앱, PDF 편집기, 이메일 자동화, 주식 크롤링, QR 코드 생성기, GPT 블로그 생성기",박현규,골든래빗,2025년 09월,21600,24000,10.0,83,19845
167573116,일 잘하는 사람은 이렇게 챗GPT를 씁니다,"일잘러 장피엠의 AI 실무, 자동화, 노코드, GPTs, Make 활용 강의",장피엠(장병준),한빛미디어,2025년 12월,21600,24000,10.0,9,10770
167573138,혼자 공부하는 바이브 코딩 with 클로드 코드,AI와 1:1 대화하며 배우는 첫 코딩 자습서,조태호,한빛미디어,2025년 12월,27000,30000,10.0,120,9126
162322988,챗GPT·퍼플렉시티·클로드·코파일럿·제미나이 다 잘함,97가지 활용 사례로 배우는 최강 AI 5대장 완전정복,이호정,리코멘드,2025년 11월,25200,28000,10.0,4,11187
154566057,요즘 당근 AI 개발,"AI가 만든 파도 위에서 과감히 서핑하는 법. AI 에이전트, 프롬프트 엔지니어링, VoC 자동 분석, 운영자동화, 바이브 코딩 AI 검색과 추천까지 당근의 AI 활용 이야기",당근 팀,골든래빗,2025년 10월,19800,22000,10.0,85,17340
167434734,2026 AI 교육 트렌드,7인의 교육 전문가가 전하는 생생한 현장 인사이트 리포트,박소이,길벗,2025년 12월,22500,25000,10.0,21,11157
143786416,교사를 위한 패들렛 Padlet,기초부터 심화까지/학생참여형수업/샌드박스/패들렛AI/템플릿 및 기능별 수업 활용 사례,안익재,앤써북,2025년 03월,15120,16800,10.0,47,22200
167452561,AI 팀원이 다 해줌,챗GPT·퍼플렉시티·코파일럿·캔바·감마·브루 전원 투입!,이나현,한빛미디어,2025년 12월,20700,23000,9.9,124,9087
140242586,선생님을 위한 노션,실전기초/수업활용/학생관리/업무관리/업무자동화/노션AI,임세범,앤써북,2025년 01월,19620,21800,9.9,16,20985
140835200,이게 되네? 챗GPT 미친 활용법 71제,"7배 더 빠르게, 7배 나은 퀄리티로 진짜 현업에 사용해온 일잘러 오대리의 ‘71가지 미친 업무 자동화’ with o3, 소라, 딥리서치, 프로젝트, 고급 음성모드, GPTs",오힘찬,골든래빗,2025년 01월,21600,24000,9.6,254,55932
146036009,Do it! LLM을 활용한 AI 에이전트 개발 입문,GPT API+딥시크+라마+랭체인+랭그래프+RAG,이성용,이지스퍼블리싱,2025년 05월,31500,35000,9.9,16,19842
167405152,일 잘하는 엔지니어의 생각 기법,"시스템 성능 개선과 최적화, 문제 해결의 속도를 높이는 사고의 기술",캐리 밀샙,책만,2025년 11월,22500,25000,9.6,11,7614
163495217,학교 업무가 쉬워지는 구글 스프레드시트 실전 가이드북,“칼퇴하는 옆반 선생님의 비밀!”,김동호,씨마스21,2026년 01월,19800,22000,10.0,28,10089
167384326,요즘 바이브 코딩 제미나이 CLI 완벽 가이드,,김진환,골든래빗,2025년 12월,23400,26000,10.0,79,7083
151850127,요즘 바이브 코딩 클로드 코드 완벽 가이드,"요금제 선택, CLAUDE.md, Opus, Sonnet, 모델 선택, MCP, PRD, 깃허브 워크플로, UI 프로토타이핑, 인증 구현, 슬래시 커맨드, supabase 연동, 테스트, 배포, 슈퍼 클로드, ccusage, 클로디아 느낌이 좋은 프로그램",최지호,골든래빗,2025년 09월,21600,24000,8.1,15,24840
154925812,AI 엔지니어링,"파운데이션 모델을 활용한 시스템 설계부터 개선까지, AI 앱 개발 원스톱 가이드",칩 후옌,한빛미디어,2025년 09월,36000,40000,9.8,11,13887
